GAME_DATE_EST,SEASON,HOME_TEAM_ID,VISITOR_TEAM_ID,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,target
2003-11-01,2003,1610612756,1610612747,0.413,1.0,0.471,22.0,38.0,0.457,0.6920000000000001,0.154,24.0,52.0,0
2003-11-01,2003,1610612742,1610612762,0.517,0.8390000000000001,0.391,28.0,49.0,0.44,0.8,0.25,25.0,38.0,1
2003-11-01,2003,1610612753,1610612765,0.39,0.762,0.417,16.0,33.0,0.417,0.821,0.429,17.0,50.0,0
2003-11-01,2003,1610612757,1610612739,0.494,0.759,0.4,27.0,38.0,0.479,0.765,0.182,23.0,37.0,1
2003-11-01,2003,1610612743,1610612758,0.488,0.821,0.4,25.0,49.0,0.363,0.6920000000000001,0.267,24.0,41.0,1
2003-11-01,2003,1610612749,1610612741,0.4479999999999999,0.519,0.4,27.0,54.0,0.28,0.75,0.25,14.0,45.0,1
2003-11-01,2003,1610612740,1610612738,0.479,0.586,0.5,23.0,32.0,0.407,0.8420000000000001,0.308,20.0,40.0,1
2003-11-01,2003,1610612744,1610612755,0.594,0.895,0.385,18.0,37.0,0.4679999999999999,0.545,0.526,22.0,25.0,1
2003-11-02,2003,1610612747,1610612744,0.425,0.682,0.364,28.0,46.0,0.3720000000000001,0.579,0.2,22.0,46.0,1
2003-11-03,2003,1610612737,1610612740,0.4270000000000001,0.652,0.3329999999999999,20.0,50.0,0.407,0.588,0.222,21.0,42.0,1
2003-11-03,2003,1610612742,1610612748,0.506,0.941,0.474,25.0,36.0,0.47,0.667,0.5,19.0,43.0,1
2003-11-03,2003,1610612757,1610612755,0.392,0.643,0.273,22.0,41.0,0.485,0.7709999999999999,0.25,19.0,29.0,0
2003-11-03,2003,1610612741,1610612745,0.266,0.72,0.429,15.0,42.0,0.521,0.789,0.6,22.0,41.0,0
2003-11-03,2003,1610612753,1610612752,0.25,0.815,0.25,13.0,47.0,0.4029999999999999,0.941,0.083,23.0,49.0,0
2003-11-03,2003,1610612763,1610612759,0.373,0.7140000000000001,0.316,23.0,44.0,0.382,0.72,0.4,21.0,48.0,1
2003-11-03,2003,1610612762,1610612750,0.4320000000000001,0.7240000000000001,0.3329999999999999,17.0,53.0,0.444,0.833,0.429,21.0,33.0,1
